ankle_horiz_fwd,ankle_vert,ankle_horiz_lateral,leg_horiz_fwd,leg_vert,leg_horiz_lateral,trunk_horiz_fwd,trunk_vert,trunk_horiz_lateral,Label
40,39,-940,0,0,0,0,0,0,0
40,39,-940,0,0,0,0,0,0,0
50,29,-940,0,0,0,0,0,0,0
50,29,-940,0,0,0,0,0,0,0
40,39,-960,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
30,39,-960,0,0,0,0,0,0,0
40,49,-940,0,0,0,0,0,0,0
40,49,-940,0,0,0,0,0,0,0
30,39,-960,0,0,0,0,0,0,0
30,39,-960,0,0,0,0,0,0,0
30,49,-950,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
60,49,-970,0,0,0,0,0,0,0
40,39,-950,0,0,0,0,0,0,0
40,39,-950,0,0,0,0,0,0,0
40,58,-950,0,0,0,0,0,0,0
40,58,-950,0,0,0,0,0,0,0
40,58,-950,0,0,0,0,0,0,0
40,58,-950,0,0,0,0,0,0,0
40,58,-950,0,0,0,0,0,0,0
40,39,-980,0,0,0,0,0,0,0
40,39,-980,0,0,0,0,0,0,0
50,39,-990,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
40,39,-960,0,0,0,0,0,0,0
60,49,-970,0,0,0,0,0,0,0
60,49,-970,0,0,0,0,0,0,0
60,19,-960,0,0,0,0,0,0,0
40,49,-960,0,0,0,0,0,0,0
50,19,-960,0,0,0,0,0,0,0
50,19,-960,0,0,0,0,0,0,0
40,49,-950,0,0,0,0,0,0,0
40,49,-950,0,0,0,0,0,0,0
30,39,-960,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,39,-970,0,0,0,0,0,0,0
50,49,-950,0,0,0,0,0,0,0
50,49,-950,0,0,0,0,0,0,0
30,39,-950,0,0,0,0,0,0,0
30,39,-950,0,0,0,0,0,0,0
50,49,-970,0,0,0,0,0,0,0
40,29,-970,0,0,0,0,0,0,0
40,29,-970,0,0,0,0,0,0,0
40,49,-950,0,0,0,0,0,0,0
60,39,-960,0,0,0,0,0,0,0
60,39,-960,0,0,0,0,0,0,0
50,39,-940,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
50,49,-940,0,0,0,0,0,0,0
50,49,-940,0,0,0,0,0,0,0
40,39,-950,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
60,39,-970,0,0,0,0,0,0,0
60,39,-970,0,0,0,0,0,0,0
50,39,-950,0,0,0,0,0,0,0
40,39,-940,0,0,0,0,0,0,0
50,39,-950,0,0,0,0,0,0,0
50,39,-950,0,0,0,0,0,0,0
40,39,-960,0,0,0,0,0,0,0
30,49,-950,0,0,0,0,0,0,0
60,29,-950,0,0,0,0,0,0,0
50,49,-970,0,0,0,0,0,0,0
50,29,-960,0,0,0,0,0,0,0
50,29,-960,0,0,0,0,0,0,0
50,58,-970,0,0,0,0,0,0,0
40,29,-970,0,0,0,0,0,0,0
60,39,-960,0,0,0,0,0,0,0
30,39,-950,0,0,0,0,0,0,0
30,39,-950,0,0,0,0,0,0,0
50,39,-970,0,0,0,0,0,0,0
30,39,-960,0,0,0,0,0,0,0
40,49,-970,0,0,0,0,0,0,0
40,49,-970,0,0,0,0,0,0,0
40,49,-990,0,0,0,0,0,0,0
40,49,-970,0,0,0,0,0,0,0
50,49,-980,0,0,0,0,0,0,0
50,49,-980,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
50,39,-950,0,0,0,0,0,0,0
50,39,-950,0,0,0,0,0,0,0
50,39,-950,0,0,0,0,0,0,0
40,49,-950,0,0,0,0,0,0,0
50,49,-950,0,0,0,0,0,0,0
50,49,-950,0,0,0,0,0,0,0
50,49,-960,0,0,0,0,0,0,0
40,39,-960,0,0,0,0,0,0,0
40,49,-970,0,0,0,0,0,0,0
40,49,-970,0,0,0,0,0,0,0
50,39,-960,0,0,0,0,0,0,0
40,39,-980,0,0,0,0,0,0,0
40,39,-980,0,0,0,0,0,0,0
40,49,-950,0,0,0,0,0,0,0
50,49,-950,-18,18,-979,0,0,0,0
50,49,-980,-18,18,-979,0,0,0,0
50,49,-980,-18,18,-979,0,0,0,0
40,68,-950,-18,18,-979,0,0,0,0
60,49,-970,-27,37,-989,0,0,0,0
60,29,-960,-27,37,-989,0,0,0,0
60,29,-960,-27,37,-989,0,0,0,0
40,39,-940,-27,37,-989,0,0,0,0
50,49,-950,-27,37,-989,0,0,0,0
50,19,-960,-27,37,-989,0,0,0,0
50,19,-960,-27,37,-989,0,0,0,0
50,49,-960,-27,37,-989,0,0,0,0
40,39,-950,-27,37,-989,0,0,0,0
40,39,-950,-27,27,-1000,0,0,0,0
50,39,-950,-27,27,-989,0,0,0,0
40,49,-970,-36,18,-969,0,0,0,0
40,49,-960,-27,27,-979,0,0,0,0
40,49,-960,-36,27,-989,0,0,0,0
50,49,-950,-36,18,-979,0,0,0,0
50,39,-980,-36,18,-979,0,0,0,0
40,49,-950,-36,27,-979,0,0,0,0
40,49,-950,-27,27,-989,0,0,0,0
50,39,-960,-45,27,-969,0,0,0,0
50,29,-960,-27,37,-969,0,0,0,0
50,39,-960,-27,27,-949,0,0,0,0
50,39,-960,-36,27,-979,0,0,0,0
40,29,-960,-27,27,-989,0,0,0,0
30,39,-960,-18,18,-979,0,0,0,0
60,49,-980,-18,18,-979,0,0,0,0
60,49,-980,-36,18,-969,0,0,0,0
30,39,-950,-36,27,-979,0,0,0,0
50,49,-970,-27,27,-989,0,0,0,0
50,49,-970,-36,18,-989,0,0,0,0
50,39,-980,-36,27,-979,0,0,0,0
40,49,-960,-27,37,-989,0,0,0,0
40,49,-960,-27,18,-979,0,0,0,0
50,49,-960,-36,37,-979,0,0,0,0
60,49,-960,-27,37,-989,0,0,0,0
60,29,-960,-27,37,-989,0,0,0,0
50,68,-980,-27,9,-989,0,0,0,0
50,68,-980,-36,18,-969,0,0,0,0
50,39,-960,-27,37,-1000,0,0,0,0
50,39,-960,-18,27,-989,0,0,0,0
40,49,-970,-36,18,-989,0,0,0,0
40,39,-960,-27,27,-979,0,0,0,0
50,39,-940,-27,46,-1000,0,0,0,0
40,29,-940,-27,46,-1000,0,0,0,0
50,49,-970,-54,27,-979,0,0,0,0
50,49,-960,-27,18,-979,0,0,0,0
40,58,-960,-36,27,-989,0,0,0,0
50,49,-960,-36,18,-969,0,0,0,0
50,39,-950,-27,27,-969,0,0,0,0
50,39,-960,-27,27,-979,0,0,0,0
40,29,-960,-27,18,-969,0,0,0,0
40,29,-960,-18,18,-969,0,0,0,0
60,39,-960,-36,37,-989,0,0,0,0
40,49,-950,-18,18,-979,0,0,0,0
40,58,-960,-36,18,-979,0,0,0,0
40,39,-960,-18,37,-1000,0,0,0,0
50,39,-970,-36,27,-959,0,0,0,0
40,39,-960,-27,18,-969,0,0,0,0
40,39,-960,-36,27,-1000,0,0,0,0
40,58,-950,-18,18,-989,0,0,0,0
50,29,-960,-27,37,-989,0,0,0,0
50,39,-950,-36,27,-969,0,0,0,0
40,49,-950,-36,27,-989,0,0,0,0
40,58,-970,-36,18,-979,0,0,0,0
50,39,-950,-45,18,-979,0,0,0,0
40,39,-940,-36,27,-989,0,0,0,0
50,29,-950,-27,18,-989,0,0,0,0
50,39,-970,-36,27,-969,0,0,0,0
40,29,-950,-54,37,-979,0,0,0,0
40,39,-960,-54,37,-979,0,0,0,0
40,39,-980,-36,27,-979,0,0,0,0
50,29,-950,-36,37,-969,0,0,0,0
30,39,-960,-27,18,-1000,0,0,0,0
40,39,-960,-27,18,-979,0,0,0,0
50,39,-960,-36,27,-979,0,0,0,0
50,29,-960,-27,27,-959,436,19,-883,0
30,49,-940,-45,37,-979,436,19,-883,0
40,39,-960,-27,18,-989,446,9,-864,0
50,39,-960,-36,27,-1000,446,9,-864,0
40,49,-970,-27,27,-949,436,28,-873,0
50,49,-960,-27,9,-979,436,28,-873,0
50,49,-970,-45,37,-989,407,28,-873,0
40,49,-960,-36,27,-979,446,0,-883,0
50,39,-960,-27,27,-979,446,0,-883,0
40,29,-960,-27,27,-989,427,28,-864,0
30,49,-950,-36,27,-979,456,28,-893,0
40,39,-970,-27,37,-1010,456,28,-893,0
50,49,-970,-27,18,-1000,436,9,-854,0
50,39,-960,-45,18,-979,456,0,-854,0
40,39,-960,-27,27,-979,456,0,-854,0
50,49,-960,-27,18,-989,436,9,-864,0
60,39,-940,-36,37,-989,446,19,-873,0
50,39,-950,-18,18,-969,446,19,-873,0
40,49,-970,-18,27,-979,427,19,-893,0
40,49,-960,-36,27,-979,427,19,-873,0
60,49,-980,-36,18,-969,436,28,-883,0
60,29,-950,-27,37,-979,436,28,-883,0
60,49,-950,-27,27,-1000,427,28,-864,0
40,39,-950,-36,27,-979,436,38,-883,0
20,49,-960,-27,27,-989,436,19,-883,0
50,39,-960,-36,27,-979,436,19,-883,0
50,49,-960,-27,27,-989,446,19,-864,0
40,39,-960,-36,37,-959,446,19,-864,0
30,39,-950,-36,27,-1000,427,9,-864,0
50,58,-960,-27,18,-969,436,19,-854,0
60,29,-970,-27,27,-979,436,19,-854,0
50,29,-980,-36,27,-979,427,28,-864,0
60,29,-950,-27,27,-959,456,9,-864,0
50,39,-960,-45,27,-979,436,28,-883,0
60,29,-950,-27,27,-979,446,28,-893,0
60,29,-950,-27,18,-979,446,28,-893,0
40,49,-970,-27,18,-979,436,19,-873,0
60,29,-940,-36,27,-989,446,9,-873,0
40,49,-950,-27,27,-1000,446,38,-893,0
50,29,-960,-27,18,-969,436,9,-873,0
40,49,-950,-36,27,-989,427,19,-873,0
40,39,-980,-36,37,-969,436,19,-893,0
40,58,-980,-27,18,-979,436,19,-893,0
30,39,-960,-45,18,-959,436,28,-873,0
40,39,-970,-27,18,-979,417,19,-883,0
30,49,-960,-27,27,-969,446,28,-883,0
50,29,-950,-27,18,-979,427,9,-864,0
40,39,-950,-36,27,-979,446,19,-873,0
60,29,-960,-36,27,-1010,427,19,-854,0
50,49,-970,-36,27,-1010,427,19,-854,0
40,39,-970,-27,27,-979,436,19,-873,0
50,39,-950,-45,27,-969,446,28,-873,0
40,58,-970,-36,37,-989,427,28,-864,0
50,39,-940,-27,27,-969,456,9,-873,0
50,39,-940,-36,18,-989,436,19,-883,0
50,39,-970,-18,18,-1000,446,19,-873,0
30,29,-950,-18,18,-1000,436,28,-873,0
50,39,-990,-27,18,-989,436,28,-873,0
50,29,-960,-36,27,-969,427,9,-873,0
50,29,-960,-36,27,-989,456,19,-893,0
50,39,-950,-27,18,-969,436,28,-873,0
40,39,-960,-45,27,-969,446,19,-893,0
30,39,-960,-27,37,-979,446,9,-873,0
50,39,-950,-27,18,-979,436,19,-883,0
30,49,-960,-36,27,-989,436,28,-854,0
60,39,-970,-18,18,-979,446,0,-864,0
40,49,-960,-27,27,-979,427,28,-873,0
60,39,-960,-27,18,-979,436,28,-873,0
50,29,-960,-36,27,-979,446,9,-873,0
